iter	RMSE
214	524.4857998
215	524.3115346
216	523.8983785
217	523.6954928
218	523.3663604
219	522.9955351
220	522.7621836
221	522.3940819
222	522.0371845
223	521.6472958
224	521.250865
225	520.9922914
226	520.6077638
227	520.2931311
228	520.0974396
229	519.7968078
230	519.608724
231	519.3588552
232	519.0066124
233	518.5539885
234	518.2418457
235	517.9855348
236	517.6350674
237	517.2674055
238	517.0143049
239	516.7708925
240	516.4561951
241	516.1770662
242	516.0909119
243	515.6895885
244	515.1869927
245	514.9679277
246	514.735597
247	514.5358686
248	514.1780531
249	513.956202
250	513.6926019
251	513.314448
252	513.0930429
253	512.8801789
254	512.4093512
255	512.2037394
256	512.1839318
257	511.7693716
258	511.5991803
259	511.4903326
260	511.1284264
261	511.0584437
262	510.8783933
263	510.8159293
264	510.3087548
265	510.0885125
266	509.6837672
267	509.4809992
268	509.1886856
269	508.9834463
270	508.5221675
271	508.383658
272	508.3438683
273	507.9650466
274	507.792783
275	507.668266
276	507.3433542
277	507.0270096
278	506.9034804
279	506.4839899
280	506.1359455
281	505.8702522
282	505.3736117
283	505.0595566
284	504.8307476
285	504.692783
286	504.4525804
287	504.1385405
288	503.7306778
289	503.4440006
290	503.2979012
291	503.1080907
292	502.8476449
293	502.3932198
294	502.1645409
295	502.0529736
296	501.9622219
297	501.657225
298	501.312478
299	501.140694
300	500.8690416
301	500.5679913
302	500.3529111
303	500.0758307
304	499.9466779
305	499.811737
306	499.6455987
307	499.4302825
308	499.0368277
309	498.7185043
310	498.4058485
311	498.2525226
312	497.8074222
313	497.5633836
314	497.2501997
315	497.1352289
316	496.9529254
317	496.6938391
318	496.5188488
319	496.2592619
320	495.9483889
321	495.6876103
322	495.4014339
323	495.265107
324	494.9955166
325	494.6859987
326	494.6120054
327	494.4379064
328	494.4185817
329	494.2623281
330	493.8655234
331	493.7468021
332	493.3707488
333	493.2563227
334	493.2489175
335	492.9353026
336	492.6858991
337	492.5969826
338	492.4207601
339	492.3166093
340	492.0663683
341	491.7540783
342	491.6093461
343	491.3793963
344	491.2408164
345	490.9797824
346	490.8899562
347	490.762138
348	490.3561572
349	490.2078744
350	489.8914724
351	489.7022772
352	489.683075
353	489.4963084
354	489.2804408
355	489.1282381
356	489.1114063
357	488.9490583
358	488.6415989
359	488.4512993
360	488.3408281
361	488.1534471
362	487.9420103
363	487.880583
364	487.7447431
365	487.6219357
366	487.4543843
367	487.2037292
368	486.8075219
369	486.5149417
370	486.3702097
371	486.2376966
372	486.2346761
373	486.1342061
374	486.0675961
375	485.898038
376	485.7682244
377	485.6559261
378	485.5515272
379	485.3894993
380	485.3807644
381	485.2689693
382	484.9637618
383	484.833165
384	484.6636619
385	484.4835737
386	484.3077055
387	484.0547714
388	483.8134475
389	483.6203449
390	483.6082515
391	483.5645323
392	483.3858087
393	483.1003002
394	483.0905008
395	482.9500561
396	482.8435469
397	482.7522929
398	482.4798423
399	482.2155425
400	482.0980778
401	481.9731046
402	481.8603325
403	481.6410263
404	481.4604171
405	481.3524616
406	481.2372513
407	481.0675293
408	480.7607329
409	480.6068124
410	480.5908755
411	480.310281
412	480.1354007
413	479.9293088
414	479.9140196
415	479.8096518
416	479.6889165
417	479.5314248
418	479.4329749
419	479.3263182
420	479.188821
421	479.0482025
422	478.8718864
423	478.721831
424	478.6570948
425	478.5324624
426	478.3745006
427	478.3046617
428	478.2171916
429	478.0510355
430	478.0023825
431	477.8953915
432	477.7764709
433	477.6701502
434	477.5333084
435	477.2278842
436	477.177388
437	477.0778052
438	476.9656927
439	476.8232438
440	476.6943859
441	476.5338994
442	476.4373785
443	476.296368
444	476.1672129
445	476.0726829
446	475.9691351
447	475.849927
448	475.7703432
449	475.6084164
450	475.4989672
451	475.3013546
452	475.0704508
453	474.981429
454	474.9772495
455	474.7739635
456	474.5747989
457	474.4605147
458	474.3293892
459	474.2251946
460	473.8959889
461	473.7643074
462	473.688876
463	473.5391778
464	473.3612207
465	473.2100032
466	473.1724092
467	473.0019038
468	472.8481212
469	472.6863525
470	472.5757727
471	472.4685356
472	472.2169127
473	471.8896196
474	471.7785672
475	471.7050735
476	471.4629403
477	471.3001648
478	471.1613707
479	471.1574944
480	470.7863395
481	470.5735
482	470.3087981
483	470.2530378
484	470.0947877
485	469.9599994
486	469.8054992
487	469.6732464
488	469.5412065
489	469.3748177
490	469.3134617
491	469.151839
492	469.0253196
493	468.8966548
494	468.5371376
495	468.4372463
496	468.1044442
497	467.9238112
498	467.7667245
499	467.5838508
